Article ID;Concepts
C:\FTP\Data\BDS\10.1177_2053951714528481.xml;scientific method
;data mining
;human geography
;critical gis
;inferential statistics
;relational data
;social theory
;artificial intelligence
;chat room
;critical theory
;disruptive innovation
;ecological fallacy
;economics
;environment and society
;expert systems
;group processes
;inferential and descriptive statistics
;intelligence gathering
;invisible hand
;management techniques
;philosophical approaches
;political science
;product placements
;quantitative models and methods
;research design
;rhetorical devices
;social life
;social processes
;spurious correlation
;strategic decision making
C:\FTP\Data\BDS\10.1177_2053951714545135.xml;social media
;social research
;social life
;communication media
;new media
;social network analysis
;geography
;social problems
;C. Wright Mills
;environmental science
;qualitative research
;quantitative research
;action research
;collaborative research
;communication networks
;computer science
;content analysis
;crime records
;gender in the media
;interviews as topic
;knowledge and power
;naturally occurring data
;Office for National Statistics
;participatory research
;philosophy and the social sciences
;social class
;social participation
;social work
;streaming media
;systems integration
C:\FTP\Data\BDS\10.1177_2053951714534395.xml;big science
;data collection
;types of data
;life sciences
;epistemic communities
;data handling
;communication technology
;reference materials
;attributes
;big society
;credit institutions
;developing countries
;digital divide
;donations, national
;economics
;environmental science
;natural history
;parts of the body
;philosophy and the social sciences
;policy sciences
;prospective data
;protocol materials
;research methods
;research methods and information
;royal society
;scientific exchange
;scientific laboratories
;social life
;social studies of science
;triangulation
C:\FTP\Data\BDS\10.1177_2053951714543804.xml;kyoto protocol
;climate change
;technology transfer
;developing countries
;carbon sinks
;greenhouse gases
;deforestation
;flexibility mechanisms
;forest land use
;research methods
;social research
;clean development mechanism
;climate change adaptation
;dangerous anthropogenic interference
;fossil fuels
;global warming
;social theory
;berlin mandate
;compliance or commitment
;discourse analysis
;effects of climate change
;emissions, trading
;global warming debate
;global warming, impacts of
;Intergovernmental Panel on Climate Change
;land use
;network analysis
;scientific method
;telecommunication networks
;united nations framework convention on climate change
C:\FTP\Data\BDS\10.1177_2053951714540280.xml;sociology
;social media
;social research
;social capital
;social class
;qualitative interview
;research methods
;sample size
;scientific research
;social scientists
;social studies
;working day
;best value
;case study
;class and politics
;classification systems
;focus groups
;journal publications
;journalism
;media and politics
;national statistics
;popular culture
;professional groups
;representative sample
;scientific method
;social life
;social power
;transactional analysis
;warfare
;web 2.0
C:\FTP\Data\BDS\10.1177_2053951714541861.xml;social media
;data privacy
;data protection
;intelligence agencies
;data mining
;data storage
;deleuze, gilles
;attempted suicide
;built environment
;business security
;Center for Disease Control
;consequentialism
;Department of Homeland Security
;Federal Bureau of Investigation
;fifth amendment
;floods, tsunamis
;Foreign Intelligence Surveillance Act
;Foreign Intelligence Surveillance Court
;George Orwell
;law and justice
;management techniques
;media rhetoric
;mobile networks
;national security agency
;political economy
;public administration
;risk analysis
;social network analysis
;surveillance: weight
;washington post, the
C:\FTP\Data\BDS\10.1177_2053951714539278.xml;collective action
;social life
;street life
;air quality
;common goods
;data collection
;railway stations
;civic life
;civic participation
;county councils
;attributes
;built environment
;civic engagement
;collective activities
;conference proceedings
;data privacy
;data protection
;data visualisation
;everyday life at work
;means of production
;opting out
;personal data
;planning permission
;policy making
;residents associations
;social relations
;surveillance and society
;ways and means
;work effort
;work on the streets
C:\FTP\Data\BDS\10.1177_2053951714543908.xml;social relations
;social scientists
;computational approaches
;fieldwork, ethnographic
;friendships
;mixed methods
;research methods
;collaborative research
;ethnographic methods
;privacy issues
;qualitative methods
;social life
;atomic physics
;blue-collar workers
;causal models
;critical ethnography
;field notes
;informatics
;large-scale research
;Nigel Thrift
;pattern recognition
;philosophy of science
;political engagement
;quantitative methods
;research methods, quantitative
;science and technology studies
;small world
;social research
;sociology
;survey methods
C:\FTP\Data\BDS\10.1177_2053951714544337.xml;wikipedia
;ethnographer
;scientists
;collaboration
;citation
;interviews
;coding scheme
;ethnography
;curiosity
;information use
;missing data
;quantitative research
;attributes
;collaborative research
;college science
;computer science
;creative process
;data analysis
;data processing
;encyclopedia
;network analysis
;participant observation
;personality
;qualitative approaches
;random sampling
;research design
;research questions
;technicians
;test theory
;work and skills
C:\FTP\Data\BDS\10.1177_2053951714535365.xml;spatial analysis
;computer graphics
;cartography
;economic geography
;location theory
;actuarial science
;american geographical society
;Association of American Geographers
;data mining
;dining rooms
;epidemiology
;general systems theory
;geographic information science
;geographical distribution
;geographical distribution of the population
;harvard laboratory for computer graphics and spatial analysis
;human geography
;John Graunt
;John von Neumann
;mathematical theory of communication
;National Council for the Social Studies
;pattern recognition
;political science
;population, geography and
;programming languages
;quantitative revolution
;regional geography
;social life
;spatial econometrics
;Walter Isard
C:\FTP\Data\BDS\10.1177_2053951714536877.xml;social media
;data mining
;computer science
;chief economist
;Hal Varian
;consumer behaviour
;econometrics
;economic issues
;internal revenue service
;applied economics
;career change
;causal inference
;early childhood education
;economic trends
;epidemiology
;external validity
;labour market trends
;marketing research
;new deal
;new media
;operations management
;opportunity cost
;organizational change
;political science
;purposive sampling
;research methods
;subdisciplines
;survey research
;University of Washington
;vice president
C:\FTP\Data\BDS\10.1177_2053951714532240.xml;twitter
;computer science
;data analysis
;behavior theories
;control groups
;social scientists
;social theory
;emotions
;human communication
;intelligence
;physical activity
;red cross
;testable hypothesis
;additional benefit
;campaign advertising
;experimentation
;field studies
;game theory
;human characteristics
;incentive schemes
;mass media
;memes
;modeling of behavior
;music
;population groups
;probability theory
;self-fulfilling prophecy
;social learning
;theory testing
;weak ties
C:\FTP\Data\BDS\10.1177_2053951714540613.xml;social sciences
;outliers
;social science research
;big science
;games
;social worlds
;aggregation
;aggression
;anxiety
;arms race
;assistants
;budgeting
;critique
;data modeling
;game playing
;games communities
;internet and communities
;minority representation
;misogyny
;noise
;second life
;sexism
;social bias
;social data
;social scientists
;survey
;theory building
;virtual worlds
;women studies
;work samples
C:\FTP\Data\BDS\10.1177_2053951714538417.xml;official statistics
;mobile phones
;statistical data
;combining data
;social media
;administrative data
;social data
;data collection
;data storage
;information sources
;legal issues
;census statistics
;data security
;information and communication technology
;information architecture
;information networks
;information society
;intelligence agencies
;legal cases
;official knowledge
;opportunity sources
;population mobility
;population statistics
;privacy issues
;production analysis
;Project Follow Through
;public administration
;storage facilities
;technical training
;tourism statistics
C:\FTP\Data\BDS\10.1177_2053951714539277.xml;data collection
;mass self-communication
;reflexivity
;mass media
;citizen science
;communication media
;economics
;political economy
;accounts and account giving
;air quality
;alternative media
;big society
;broadcast media
;data mining
;distribution chain
;environmental governance
;human agency
;information technology
;media forms
;ontology
;performance management
;resource management
;social processes
;social theory
;sociological approach
;sociology
;technology sector
;types of information
;variables
;web 2.0
C:\FTP\Data\BDS\10.1177_2053951714532241.xml;information and communication technology
;intelligence
;air traffic control
;animal ecology
;carbon dioxide
;communication networks
;computer graphics
;corporate governance
;demography
;electronic nose
;environment awareness
;flash mobs
;geography
;global positioning system
;human ecology
;imperial power
;knowledge and power
;Konrad Lorenz
;language and power
;music and war
;new towns
;psychology
;smart cards
;social life
;space perception
;spaces of representation
;television, crime in
;terms of trade
;time perception
;video games
C:\FTP\Data\BDS\10.1177_2053951714543701.xml;surgeons
;bladder
;mortality
;urologist
;lithotripsy
;statisticians
;surgical procedures
;urethra
;ureter
;astronomy
;internal medicine
;mathematical models
;sense organs
;urological surgeon
;clinical experience
;french literature
;health and aging
;keeping track
;law and courts
;mathematical applications
;medical science
;medical treatment
;open surgery
;patient safety
;patient selection
;peer review
;personal data
;psychiatry
;Robert Koch
;urinary tract
C:\FTP\Data\BDS\10.1177_2053951714546645.xml;social media
;streaming media
;mobile phones
;visual media
;time, representation of
;work of art
;artificial intelligence
;attributes
;borders and boundaries
;classification systems
;communication technology
;computer vision
;content analysis
;cultural object
;geographical areas
;Henri Bergson
;information systems
;media forms
;network visualization
;new media
;procedure manuals
;social control
;social services
;social work
;spatial organization
;subject indexing
;visual analysis
;visual representations
;Walter Benjamin
;work release
